Date,AAPL,AMZN,BABA,DB,DIS,E,ENIA,EURCHF=X,EURGBP=X,EURUSD=X,FB,FCAU,GE,GOOG,GS,INTC,MSFT,NFLX,^GSPC,^VIX
2009-08-07,23.644285202026367,85.31999969482422,,63.15839767456055,26.690000534057617,45.779998779296875,9.906330108642578,1.5326999425888062,0.8495000004768372,1.419103980064392,,,14.134614944458008,227.696533203125,163.64999389648438,18.5,23.559999465942383,6.4285712242126465,1010.47998046875,24.760000228881836
2009-08-10,23.531429290771484,84.44000244140625,,63.76908493041992,26.440000534057617,45.86000061035156,9.79952335357666,1.5341999530792236,0.8574000000953674,1.413107991218567,,,14.009614944458008,227.45245361328125,160.36000061035156,18.760000228881836,23.420000076293945,6.5428571701049805,1007.0999755859375,24.989999771118164
2009-08-11,23.261428833007812,83.55999755859375,,61.421756744384766,25.899999618530273,44.86000061035156,9.73009967803955,1.5305999517440796,0.8580999970436096,1.4150075912475586,,,13.451923370361328,226.1224365234375,159.22000122070312,18.639999389648438,23.1299991607666,6.584285736083984,994.3499755859375,25.989999771118164
2009-08-12,23.61571502685547,85.95999908447266,,61.946563720703125,26.219999313354492,45.849998474121094,9.863607406616211,1.5292999744415283,0.8610000014305115,1.4217066764831543,,,13.586538314819336,228.43377685546875,163.75999450683594,18.809999465942383,23.530000686645508,6.611428737640381,1005.8099975585938,25.450000762939453
2009-08-13,24.059999465942383,84.5999984741211,,64.14122009277344,26.260000228881836,46.459999084472656,9.911670684814453,1.52839994430542,0.8614000082015991,1.4275925159454346,,,13.557692527770996,230.27687072753906,164.47999572753906,19.049999237060547,23.6200008392334,6.611428737640381,1012.72998046875,24.709999084472656
2009-08-14,23.825714111328125,83.58000183105469,,62.82442855834961,25.860000610351562,46.0099983215332,9.804863929748535,1.5225000381469727,0.8590999841690063,1.42069673538208,,,13.384614944458008,229.14112854003906,162.72999572753906,18.770000457763672,23.690000534057617,6.355714321136475,1004.0900268554688,24.270000457763672
2009-08-17,22.79857063293457,81.05999755859375,,60.553436279296875,25.09000015258789,44.58000183105469,9.623291969299316,1.5176000595092773,0.8623999953269958,1.4105963706970215,,,12.84615421295166,221.6143341064453,157.25,18.450000762939453,23.25,6.158571243286133,979.72998046875,27.889999389648438
2009-08-18,23.428571701049805,82.12000274658203,,62.54771041870117,25.200000762939453,45.31999969482422,9.639313697814941,1.5204999446868896,0.8537999987602234,1.4165109395980835,,,13.067307472229004,221.80860900878906,160.47999572753906,18.770000457763672,23.579999923706055,6.221428394317627,989.6699829101562,26.18000030517578
2009-08-19,23.514286041259766,83.0,,62.16603088378906,25.479999542236328,45.869998931884766,9.687376976013184,1.516700029373169,0.8605999946594238,1.4253947734832764,,,13.009614944458008,221.1560516357422,159.92999267578125,18.799999237060547,23.649999618530273,6.409999847412109,996.4600219726562,26.260000228881836
2009-08-20,23.761428833007812,84.08999633789062,,63.33015441894531,25.889999389648438,46.20000076293945,9.73543930053711,1.5152000188827515,0.8633999824523926,1.4260046482086182,,,13.27884578704834,229.34535217285156,162.3300018310547,18.709999084472656,23.670000076293945,6.425714492797852,1007.3699951171875,25.09000015258789
